layer_index,matrix_entropy_mean,matrix_entropy_std,normalized_entropy_mean,normalized_entropy_std,effective_rank_mean,effective_rank_std
0,3.356655306951459,,0.6365741432786636,,28.693060725181862,
1,3.4096637230463767,,0.6466269440509977,,30.25506846629811,
2,3.508267553988233,,0.6653267042187504,,33.39037063214786,
3,3.563462795947215,,0.6757942263948681,,35.28517118539592,
4,3.5994671887159964,,0.6826222928435113,,36.578739685366585,
5,3.6323133316089953,,0.6888514118206126,,37.80015985591255,
6,3.626977308133213,,0.6878394596652702,,37.598994504369564,
7,3.662651546978251,,0.6946049139503345,,38.96452227966596,
8,3.7508697126936097,,0.7113350807760942,,42.55807921096417,
9,3.8092093206420126,,0.7223989174089644,,45.11475345602083,
10,3.851798611567339,,0.7304757793159614,,47.0776615556481,
11,3.8406824746652055,,0.7283676554015429,,46.557237734970286,
12,3.913817776340809,,0.7422374268705283,,50.08981912389816,
13,3.7830167595768316,,0.7174316194305834,,43.94842378110149,
14,3.2908781357216013,,0.62409980719291,,26.86644568594098,
15,2.5711300044570327,,0.4876029053253548,,13.080597225872072,
