layer_index,matrix_entropy_mean,matrix_entropy_std,normalized_entropy_mean,normalized_entropy_std,effective_rank_mean,effective_rank_std
0,3.567077993965228,0.2807680356226215,0.6764798319666804,0.05324635847069666,36.70851700662051,9.164265945137702
1,3.589615974724343,0.2849463661935633,0.6807540557045936,0.054038759524812637,37.56846075283299,9.392413063075827
2,3.664974355874177,0.2590543805136898,0.6950454239067374,0.04912846427709521,40.289449344117195,9.495094445860667
3,3.6331388376827944,0.24934192303876676,0.6890079652268001,0.04728654166936573,38.94272342334322,8.889075565161358
4,3.6308335041442628,0.24379179169097742,0.6885707693910454,0.04623398494705745,38.7958320873336,8.57452072584545
5,3.6495292691971652,0.223499289523601,0.6921163347032905,0.04238560583126735,39.3592602931689,8.022091540184647
6,3.6572293033748937,0.19917789475788644,0.693576610546852,0.03777316588121844,39.4823112684221,7.26678453936313
7,3.679230960475571,0.1769611608133927,0.6977491229852218,0.03355986511486396,40.2029038038281,6.572198038991513
8,3.7283619069757794,0.15850529372526048,0.7070665795951007,0.030059795341312312,42.106282468418485,6.183994804946227
9,3.7723468048772273,0.14539550371590074,0.7154081119057993,0.027573584342378686,43.91809417946481,5.9285589882588905
10,3.8089113020448213,0.13732849617592272,0.7223423995613334,0.02604371369913772,45.50600245326695,5.82463083669202
11,3.8264986920201647,0.13054580918616604,0.7256777666700371,0.02475740850399607,46.27662465962032,5.691946115883437
12,3.8800559703402127,0.1348118625893521,0.7358346566230557,0.025566445787237616,48.85133175164341,6.2461683347406876
13,3.8149658914625837,0.1971562868804193,0.7234906244218171,0.037389777303910736,46.21743723159242,8.484225661622265
14,3.24544796696388,0.3689554775294775,0.6154841859534993,0.06997069866837365,27.36506076898633,9.377330332297829
15,2.499021664542672,0.6159508675872191,0.4739278924012783,0.11681223121840013,14.526142447511273,8.415286415171096
